Rk,School,G,Pts,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,off_plays,off_yds,off_avg,fdown_pass,fdown_rush,fdowns_pen,fdown_tot,pen_no.,pen_yds,off_fum,off_int,off_Tot,def_Pts,def_pass_Cmp,dpass_Att,dpass_Pct,d_pass_Yds,dpass_TD,drush_Att,drush_Yds,drush_Avg,drush_TD,doff_Plays,d_off_Yds,doff_Avg,dfdown_Pass,dfdown_Rush,dfdown_Pen,dfdown_Tot,d_penn_No.,d_penn_Yds,dturnovers_Fum,d_turnovers_Int,d_turnovers_TO
1,Air Force,10,29.5,3.6,7.5,48,79.9,0.7,59.8,334.1,5.6,3,67.3,414,6.2,2.8,17.5,0.6,20.9,4.1,31.1,1,0.2,1.2,14.4,12.4,21.3,58.2,151.3,0.6,30.3,113.3,3.7,1,51.6,264.6,5.1,6.7,6.3,0.4,13.4,4.3,32.5,0.6,0.7,1.3
2,Akron,10,19.5,27.3,42.3,64.5,283.1,1,31.1,82.3,2.6,1.4,73.4,365.4,5,14.2,6.2,2,22.4,6.4,60.2,1.1,0.9,2,36.7,17.3,27.3,63.4,248.9,1.9,39.4,183.3,4.7,2.5,66.7,432.2,6.5,9.9,10.1,1.8,21.8,7.7,59.9,0.3,0.6,0.9
3,Alabama,10,40.6,22.3,35.6,62.6,273.2,2.7,34.6,193.1,5.6,1.9,70.2,466.3,6.6,12.5,9.1,2.4,24,8.3,71.6,0.7,0.6,1.3,18.9,18.9,34.3,55.1,200.8,1.1,36,112.7,3.1,1.1,70.3,313.5,4.5,8.9,7.1,3,19,6.8,54.4,0.6,0.3,0.9
4,Appalachian State,10,34.4,19.6,31.1,63,246.7,2.6,38.4,187,4.9,2.1,69.5,433.7,6.2,10.7,9.7,2.2,22.6,5.8,54.1,0.5,0.6,1.1,25.6,16.1,27.5,58.5,193.9,1.3,36.6,134.6,3.7,1.6,64.1,328.5,5.1,9.3,7.5,1.7,18.5,5.6,54.2,1.1,0.6,1.7
5,Arizona,10,31.2,24.3,39,62.3,326.4,2.5,30.2,135.8,4.5,1.3,69.2,462.2,6.7,14.8,8.5,1.9,25.2,5,45.3,0.8,0.8,1.6,37.2,21.8,31.7,68.8,253.4,2.1,37.4,218.7,5.8,2.9,69.1,472.1,6.8,10.7,11.9,2.2,24.8,5,47.5,0.8,0.2,1
6,Arizona State,10,27.1,21.3,32.3,65.9,252.5,1.5,32.2,130.8,4.1,1.8,64.5,383.3,5.9,11.9,6.7,1.7,20.3,7.5,71.9,0.5,0.8,1.3,30.8,21.6,35.9,60.2,238,1.3,36.5,175.5,4.8,2.3,72.4,413.5,5.7,11.8,9.7,2.6,24.1,5.4,49.9,0.1,1,1.1
7,Arkansas,10,29.9,17.5,27.8,62.9,238.4,1.9,47.2,223.3,4.7,1.8,75,461.7,6.2,9.6,12.8,1.2,23.6,6.7,58.9,0.9,0.5,1.4,28.9,20.1,33,60.9,280.5,1.7,36.1,146.8,4.1,2,69.1,427.3,6.2,11.2,7.9,2.2,21.3,6.7,55.6,0.6,0.6,1.2
8,Arkansas State,10,26.8,20.4,31.9,63.9,226.1,1.4,33.3,96.6,2.9,1.5,65.2,322.7,4.9,10.1,6.2,1.6,17.9,6.2,60.1,0.4,0.3,0.7,31.3,18,29.9,60.2,257.2,2.4,39.5,153.7,3.9,1.7,69.4,410.9,5.9,9.7,8.8,2.2,20.7,7.4,64.3,0.5,0.5,1
9,Army,9,27.2,4.2,9.6,44.2,91.7,0.6,54,299.9,5.6,3,63.6,391.6,6.2,2.7,15.3,0.7,18.7,5.2,43,1,0.4,1.4,25.4,15.4,24.7,62.6,181.6,1.6,38.7,198.3,5.1,1.7,63.3,379.9,6,8.9,10.9,1.4,21.2,4.7,35.1,0.4,0.7,1.1
10,Auburn,10,22.9,13.9,26.5,52.5,187.3,0.7,40.3,190,4.7,2,66.8,377.3,5.6,7.7,9.5,0.6,17.8,7.5,59.4,0.9,1.2,2.1,28.8,19,32.3,58.8,202.8,1,38.4,181.4,4.7,2.4,70.7,384.2,5.4,8.9,9.1,1.5,19.5,7.7,57.5,0.7,0.3,1
11,Ball State,11,23.8,24.3,40.7,59.6,236.4,1.6,34.6,145.7,4.2,1.1,75.4,382.1,5.1,11.6,7.5,2.4,21.5,5.9,55.5,0.6,1.1,1.7,27.7,20.3,33.6,60.3,216,1.5,45,187.8,4.2,2,78.6,403.8,5.1,10.3,10.6,2.2,23.1,7,61.8,0.7,0.5,1.3
12,Baylor,10,34.8,19.7,30.3,65,237.3,1.4,42.4,199.6,4.7,3.1,72.7,436.9,6,10.9,11,2.3,24.2,5.3,49.1,0.6,0.9,1.5,25.2,20.5,34.3,59.8,227.2,1.5,35.4,132.8,3.8,1.4,69.7,360,5.2,10.5,8.7,1.8,21,5.9,47,0.4,1.2,1.6
13,Boise State,10,30,16.5,26.8,61.6,192.5,1.3,39.2,180.8,4.6,2.2,66,373.3,5.7,8.7,9.8,1.1,19.6,5.4,46.5,0.6,0.7,1.3,17.3,12.5,24.1,51.9,156.9,0.9,34.9,107,3.1,0.8,59,263.9,4.5,5.8,6.5,0.9,13.2,6.3,44.3,0.5,0.8,1.3
14,Boston College,10,19,22.4,38,58.9,259.6,1.9,29.1,61.4,2.1,0.5,67.1,321,4.8,10.4,5.2,1.4,17,6.4,51.7,0.8,1.1,1.9,28.8,17.1,29.6,57.8,209.3,1.6,38.1,157,4.1,1.9,67.7,366.3,5.4,9.4,7.7,2.4,19.5,6.5,51.2,0.6,0.7,1.3
15,Bowling Green State,11,24.7,21.2,34.6,61.2,237.5,2.1,33.9,104.1,3.1,0.6,68.5,341.5,5,9.7,6.5,1.6,17.9,8.6,77.4,0.9,0.6,1.5,32.8,23.1,34.9,66.1,263.3,2.4,37.2,160.7,4.3,1.5,72.1,424,5.9,12,8,1.7,21.7,6.1,53.9,1.2,0.8,2
16,Brigham Young,10,29.6,22,33.3,66.1,265,2.5,30.5,150.9,4.9,1.2,63.8,415.9,6.5,11.6,7.7,1.9,21.2,5.9,51.2,0.2,0.5,0.7,30.8,18.9,27.9,67.7,217,1.9,40.6,195.5,4.8,1.9,68.5,412.5,6,10.2,10.2,2.2,22.6,5.5,49.2,0.4,0.6,1
