Date,team,location,Opponent,results,pass_Cmp,pass_Att,pass_Pct,pass_Yds,pass_TD,rush_Att,rush_Yds,rush_Avg,rush_TD,off_Plays,off_Yds,off_Avg,fd_Pass,fd_Rush,fd_Pen,fd_Tot,pen_No.,pen_Yds,off_Fum,off_Int,off_turnovers ,def_pass_Cmp,def_pass_Att,def_pass_Pct,def_pass_yrds ,def_pass_TD,def_rush_Att,def_rush_Yds,def_rush_Avg,def_TD,def_Plays,def_total_yrds,def_total_Avg,def_fd_Pass,def_fd_Rush,def_Pen,def_pen_Tot,def_pen_No,def_turnovers_Yds,def_Fum,def_Int,def_Tot
9/4/22,lsu,N,Florida State,L (23-24),20,33,60.6,260,2,38,132,3.5,1,71,392,5.5,14,8,0,22,7,80,1,0,1,25,35,71.4,209,2,30,139,4.6,1,65,348,5.4,14,8,3,25,4,45,2,0,2
9/10/22,lsu,,Southern,W (65-17),9,17,52.9,61,0,42,201,4.8,1,59,262,4.4,3,11,1,15,2,8,4,1,5,23,34,67.6,320,3,36,230,6.4,5,70,550,7.9,13,10,0,23,6,40,0,2,2
9/17/22,lsu,,Mississippi State,W (31-16),24,42,57.1,214,1,22,75,3.4,1,64,289,4.5,9,6,0,15,3,40,1,1,2,22,37,59.5,210,1,38,207,5.4,3,75,417,5.6,11,8,1,20,7,39,1,0,1
9/24/22,lsu,,New Mexico,W (38-0),4,6,66.7,51,0,27,37,1.4,0,33,88,2.7,2,0,0,2,2,14,0,0,0,33,39,84.6,414,1,41,219,5.3,4,80,633,7.9,16,11,1,28,5,60,1,0,1
10/1/22,lsu,@,Auburn,W (21-17),19,39,48.7,337,2,31,101,3.3,0,70,438,6.3,10,9,1,20,8,80,2,2,4,10,26,38.5,85,0,49,185,3.8,2,75,270,3.6,2,14,3,19,10,94,1,0,1
10/8/22,lsu,,Tennessee,L (13-40),17,28,60.7,239,2,49,263,5.4,2,77,502,6.5,11,12,4,27,12,107,0,0,0,32,45,71.1,300,1,28,55,2,1,73,355,4.9,15,5,4,24,9,81,1,1,2
10/15/22,lsu,@,Florida,W (45-35),15,26,57.7,185,1,33,210,6.4,4,59,395,6.7,8,9,2,19,5,50,0,0,0,23,32,71.9,349,3,38,179,4.7,3,70,528,7.5,15,12,1,28,5,45,1,0,1
10/22/22,lsu,,Mississippi,W (45-20),20,35,57.1,287,0,37,117,3.2,2,72,404,5.6,12,7,5,24,10,111,0,1,1,21,28,75,248,2,48,252,5.3,4,76,500,6.6,14,17,4,35,8,71,0,0,0
9/1/22,tennessee,,Ball State,W (59-10),27,35,77.1,351,3,51,218,4.3,5,86,569,6.6,15,13,4,32,6,48,1,0,1,27,43,62.8,269,1,27,74,2.7,0,70,343,4.9,12,5,0,17,12,83,1,2,3
9/10/22,tennessee,@,Pittsburgh,W (34-27),27,42,64.3,325,2,35,91,2.6,2,77,416,5.4,14,5,1,20,7,70,2,0,2,23,44,52.3,274,2,39,141,3.6,1,83,415,5,12,7,2,21,5,28,1,1,2
9/17/22,tennessee,,Akron,W (63-6),20,25,80,438,4,45,238,5.3,5,70,676,9.7,10,15,3,28,11,118,0,0,0,32,46,69.6,241,0,24,35,1.5,0,70,276,3.9,15,3,5,23,9,77,1,0,1
9/24/22,tennessee,,Florida,W (38-33),22,28,78.6,349,2,42,227,5.4,3,70,576,8.2,12,12,3,27,6,50,2,0,2,24,45,53.3,453,2,43,142,3.3,3,88,595,6.8,21,8,2,31,10,47,1,1,2
10/8/22,tennessee,@,Louisiana State,W (40-13),17,28,60.7,239,2,49,263,5.4,2,77,502,6.5,11,12,4,27,12,107,0,0,0,32,45,71.1,300,1,28,55,2,1,73,355,4.9,15,5,4,24,9,81,1,1,2
10/15/22,tennessee,,Alabama,W (52-49),21,31,67.7,385,5,39,182,4.7,2,70,567,8.1,13,12,4,29,6,39,1,1,2,35,52,67.3,455,2,31,114,3.7,3,83,569,6.9,21,9,2,32,17,130,1,0,1
10/22/22,tennessee,,Tennessee-Martin,W (65-24),26,37,70.3,495,5,46,201,4.4,4,83,696,8.4,12,13,2,27,13,109,0,1,1,28,47,59.6,316,2,29,76,2.6,1,76,392,5.2,16,4,5,25,5,39,1,1,2
10/29/22,tennessee,,Kentucky,W (44-6),19,25,76,245,3,40,177,4.4,3,65,422,6.5,9,9,1,19,6,50,0,0,0,16,27,59.3,98,0,36,107,3,1,63,205,3.3,6,8,0,14,5,31,0,3,3
9/3/22,alabama,,Utah State,W (55-0),27,40,67.5,281,6,32,278,8.7,1,72,559,7.8,14,11,5,30,6,40,0,1,1,8,22,36.4,57,0,37,79,2.1,0,59,136,2.3,3,4,0,7,11,110,0,0,0
9/10/22,alabama,@,Texas,W (20-19),27,39,69.2,213,1,24,161,6.7,1,63,374,5.9,11,5,0,16,15,100,0,0,0,23,34,67.6,292,0,33,79,2.4,1,67,371,5.5,12,5,8,25,5,30,0,0,0
9/17/22,alabama,,Louisiana-Monroe,W (63-7),13,20,65,236,3,39,273,7,3,59,509,8.6,10,13,0,23,6,60,0,2,2,12,24,50,91,0,40,78,2,1,64,169,2.6,5,5,1,11,3,25,0,1,1
9/24/22,alabama,,Vanderbilt,W (55-3),30,43,69.8,400,4,34,228,6.7,3,77,628,8.2,20,10,4,34,6,55,2,0,2,13,26,50,115,0,26,14,0.5,0,52,129,2.5,5,3,1,9,6,36,2,0,2
10/1/22,alabama,@,Arkansas,W (49-26),11,22,50,238,2,42,317,7.5,5,64,555,8.7,7,9,1,17,10,101,0,1,1,17,34,50,190,1,51,187,3.7,2,85,377,4.4,9,14,4,27,6,31,1,0,1
10/8/22,alabama,,Texas A&M,W (24-20),12,19,63.2,111,3,51,286,5.6,0,70,397,5.7,7,13,4,24,6,73,3,1,4,25,47,53.2,253,2,25,70,2.8,0,72,323,4.5,11,4,3,18,8,59,0,1,1
10/15/22,alabama,@,Tennessee,L (49-52),35,52,67.3,455,2,31,114,3.7,3,83,569,6.9,21,9,2,32,17,130,1,0,1,21,31,67.7,385,5,39,182,4.7,2,70,567,8.1,13,12,4,29,6,39,1,1,2
10/22/22,alabama,,Mississippi State,W (30-6),22,37,59.5,261,2,27,29,1.1,1,64,290,4.5,12,4,5,21,3,20,0,0,0,30,61,49.2,231,0,26,62,2.4,1,87,293,3.4,11,7,2,20,10,100,1,0,1
9/3/22,florida,,Utah,W (29-26),17,24,70.8,168,0,39,283,7.3,4,63,451,7.2,9,14,0,23,7,38,1,0,1,22,32,68.8,216,1,39,230,5.9,2,71,446,6.3,12,13,0,25,3,15,0,1,1
9/10/22,florida,,Kentucky,L (16-26),14,35,40,143,0,30,136,4.5,1,65,279,4.3,7,5,0,12,3,28,0,2,2,13,24,54.2,202,1,38,70,1.8,1,62,272,4.4,10,6,1,17,2,10,0,1,1
9/17/22,florida,,South Florida,W (31-28),10,18,55.6,112,0,30,217,7.2,3,48,329,6.9,3,10,4,17,6,48,0,2,2,12,28,42.9,116,0,46,286,6.2,3,74,402,5.4,6,17,0,23,9,73,1,2,3
9/24/22,florida,@,Tennessee,L (33-38),24,45,53.3,453,2,43,142,3.3,3,88,595,6.8,21,8,2,31,10,47,1,1,2,22,28,78.6,349,2,42,227,5.4,3,70,576,8.2,12,12,3,27,6,50,2,0,2
10/2/22,florida,,Eastern Washington,W (52-17),16,22,72.7,392,3,28,274,9.8,4,50,666,13.3,13,6,1,20,5,40,0,1,1,25,40,62.5,258,1,45,153,3.4,1,85,411,4.8,15,12,0,27,5,45,2,0,2
10/8/22,florida,,Missouri,W (24-17),8,14,57.1,66,1,32,227,7.1,1,46,293,6.4,4,8,1,13,1,5,1,1,2,22,30,73.3,220,0,42,150,3.6,2,72,370,5.1,13,8,0,21,6,55,1,2,3
10/15/22,florida,,Louisiana State,L (35-45),15,26,57.7,185,1,33,210,6.4,4,59,395,6.7,8,9,2,19,5,50,0,0,0,23,32,71.9,349,3,38,179,4.7,3,70,528,7.5,15,12,1,28,5,45,1,0,1
10/29/22,florida,N,Georgia,L (20-42),18,37,48.6,271,1,34,100,2.9,1,71,371,5.2,9,6,1,16,7,53,0,0,0,19,38,50,316,2,40,239,6,4,78,555,7.1,13,12,1,26,4,40,1,2,3
