Wk,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,day_code
1,Florida Atlantic,Charlotte,99,99,32,37,0,5
1,Florida State,Duquesne,99,99,34,49,0,5
1,Illinois,Wyoming,99,99,42,221,0,5
1,Nevada,New Mexico State,99,99,76,121,1,5
1,Nevada-Las Vegas,Idaho State,99,99,74,76,0,5
1,North Carolina,Florida A&M,99,99,77,57,0,5
1,North Texas,Texas-El Paso,99,99,112,133,1,5
1,Northwestern,Nebraska,99,99,72,223,3,5
1,Utah State,Connecticut,99,99,120,46,0,5
1,Vanderbilt,Hawaii,99,99,40,203,1,5
1,Western Kentucky,Austin Peay,99,99,128,17,0,5
2,Akron,St. Francis (PA),99,99,1,176,0,3
2,Alabama-Birmingham,Alabama A&M,99,99,3,4,0,3
2,Arizona State,Northern Arizona,99,99,6,134,0,3
2,Central Florida,South Carolina State,99,99,19,164,0,3
2,Florida International,Bryant,99,99,33,25,0,3
2,Fresno State,Cal Poly,99,99,35,28,0,3
2,Minnesota,New Mexico State,99,99,66,125,0,3
2,Missouri,Louisiana Tech,99,99,69,97,0,3
2,Northern Illinois,Eastern Illinois,99,99,80,51,0,3
2,Oklahoma State,Central Michigan,99,99,86,35,0,3
2,Penn State,Purdue,99,99,92,148,1,3
2,Pittsburgh,West Virginia,99,99,91,213,0,3
2,San Jose State,Portland State,99,99,96,150,0,3
2,Tennessee,Ball State,99,99,106,18,0,3
2,Toledo,Long Island,99,99,114,94,0,3
2,Wake Forest,Virginia Military Institute,99,99,124,206,0,3
2,Duke,Temple,99,99,28,182,0,4
2,Eastern Michigan,Eastern Kentucky,99,99,30,52,0,4
2,Indiana,Illinois,99,99,43,77,0,4
2,Kansas,Tennessee Tech,99,99,47,185,0,4
2,Michigan State,Western Michigan,99,99,64,217,0,4
2,Old Dominion,Virginia Tech,99,99,87,207,0,4
2,Texas Christian,Colorado,99,99,25,189,1,4
2,William & Mary,Charlotte,99,99,21,218,1,4
2,Air Force,Northern Iowa,99,99,0,137,0,5
2,Alabama,Utah State,1,99,2,202,0,5
2,Arizona,San Diego State,99,99,95,10,1,5
2,Arkansas,Cincinnati,99,99,7,39,0,5
2,Arkansas State,Grambling State,99,99,8,69,0,5
2,Auburn,Mercer,99,99,10,106,0,5
2,Baylor,Albany,99,99,12,7,0,5
2,Brigham Young,South Florida,99,99,99,24,1,5
2,California,California-Davis,99,99,18,30,0,5
2,Coastal Carolina,Army,99,99,24,15,0,5
2,Connecticut,Central Connecticut State,99,99,27,33,0,5
2,Delaware,Navy,99,99,70,47,1,5
2,Florida,Utah,99,7,31,201,0,5
2,Georgia,Oregon,99,99,72,223,3,5
2,Georgia Southern,Morgan State,99,99,37,117,0,5
2,Houston,Texas-San Antonio,99,99,113,72,1,5
2,Iowa,South Dakota State,99,99,44,166,0,5
2,Iowa State,Southeast Missouri State,99,99,45,168,0,5
2,James Madison,Middle Tennessee State,99,99,46,111,0,5
2,Kansas State,South Dakota,99,99,48,165,0,5
2,Kentucky,Miami (OH),99,99,50,108,0,5
2,Liberty,Southern Mississippi,99,99,102,93,1,5
2,Louisiana,Southeastern Louisiana,99,99,52,169,0,5
2,Marshall,Norfolk State,99,99,57,127,0,5
2,Maryland,Buffalo,99,99,58,27,0,5
2,Miami (FL),Bethune-Cookman,99,99,61,20,0,5
2,Michigan,Colorado State,8,99,63,45,0,5
2,Mississippi,Troy,99,99,67,197,0,5
2,Mississippi State,Memphis,99,99,68,105,0,5
2,Nebraska,North Dakota,99,99,71,131,0,5
2,Nevada,Texas State,99,99,73,191,0,5
2,New Mexico,Maine,99,99,75,100,0,5
2,North Carolina,Appalachian State,99,99,4,128,1,5
2,North Carolina State,East Carolina,99,99,29,130,1,5
2,Ohio,Florida Atlantic,99,99,83,58,0,5
2,Ohio State,Notre Dame,2,5,84,140,0,5
2,Oklahoma,Texas-El Paso,9,99,85,193,0,5
2,Oregon State,Boise State,99,99,89,21,0,5
2,Rutgers,Boston College,99,99,14,156,1,5
2,South Alabama,Nicholls State,99,99,97,126,0,5
2,South Carolina,Georgia State,99,99,98,67,0,5
2,Southern California,Rice,99,99,100,153,0,5
2,Southern Methodist,North Texas,99,99,79,173,1,5
2,Stanford,Colgate,99,99,103,43,0,5
2,Syracuse,Louisville,99,99,104,99,0,5
2,Texas,Louisiana-Monroe,99,99,107,98,0,5
2,Texas A&M,Sam Houston State,6,99,108,158,0,5
2,Texas Tech,Murray State,99,99,111,118,0,5
2,Tulane,Massachusetts,99,99,116,103,0,5
2,UCLA,Bowling Green,99,99,118,23,0,5
2,Vanderbilt,Elon,99,99,121,55,0,5
2,Virginia,Richmond,99,99,122,154,0,5
2,Washington,Kent State,99,99,125,89,0,5
2,Washington State,Idaho,99,99,126,75,0,5
2,Wisconsin,Illinois State,99,99,130,78,0,5
2,Wyoming,Tulsa,99,99,131,199,0,5
2,Florida State,Louisiana State,99,99,72,223,3,6
2,Western Kentucky,Hawaii,99,99,40,216,1,6
2,Clemson,Georgia Tech,99,4,39,41,1,0
3,Boise State,New Mexico,99,99,75,21,1,4
3,Louisville,Central Florida,99,99,19,99,1,4
3,Air Force,Colorado,99,99,0,44,0,5
3,Alabama,Texas,99,1,107,3,1,5
3,Appalachian State,Texas A&M,6,99,108,9,1,5
3,Arkansas,South Carolina,99,99,7,163,0,5
3,Auburn,San Jose State,99,99,10,161,0,5
3,Brigham Young,Baylor,99,9,16,19,0,5
3,California,Nevada-Las Vegas,99,99,18,122,0,5
3,Cincinnati,Kennesaw State,99,99,22,88,0,5
3,Clemson,Furman,5,99,23,63,0,5
3,Coastal Carolina,Gardner-Webb,99,99,24,64,0,5
3,Duke,Northwestern,99,99,81,48,1,5
3,East Carolina,Old Dominion,99,99,29,145,0,5
3,Eastern Kentucky,Bowling Green,99,99,15,52,1,5
3,Florida Atlantic,Southeastern Louisiana,99,99,32,169,0,5
3,Georgia,Samford,2,99,36,159,0,5
3,Georgia Southern,Nebraska,99,99,71,66,1,5
3,Georgia Tech,Western Carolina,99,99,39,214,0,5
3,Holy Cross,Buffalo,99,99,17,71,1,5
3,Illinois,Virginia,99,99,42,205,0,5
3,Incarnate Word,Nevada,99,99,73,79,1,5
3,Indiana,Idaho,99,99,43,75,0,5
3,Iowa State,Iowa,99,99,44,83,1,5
3,James Madison,Norfolk State,99,99,46,127,0,5
3,Kansas,West Virginia,99,99,127,86,1,5
3,Kansas State,Missouri,99,99,48,115,0,5
3,Kentucky,Florida,99,99,31,90,1,5
3,Liberty,Alabama-Birmingham,99,99,51,6,0,5
3,Louisiana,Eastern Michigan,99,99,52,53,0,5
3,Louisiana State,Southern,99,99,53,170,0,5
3,Louisiana Tech,Stephen F. Austin,99,99,54,178,0,5
3,Louisiana-Monroe,Nicholls State,99,99,55,126,0,5
3,Marshall,Notre Dame,8,99,82,101,1,5
3,Maryland,Charlotte,99,99,21,102,1,5
3,Memphis,Navy,99,99,70,105,1,5
3,Miami (FL),Southern Mississippi,99,99,61,174,0,5
3,Miami (OH),Robert Morris,99,99,62,155,0,5
3,Michigan,Hawaii,4,99,63,70,0,5
3,Michigan State,Akron,99,99,64,2,0,5
3,Middle Tennessee State,Colorado State,99,99,26,111,1,5
3,Minnesota,Western Illinois,99,99,66,215,0,5
3,Mississippi,Central Arkansas,99,99,67,32,0,5
3,Mississippi State,Arizona,99,99,5,114,1,5
3,North Carolina,Georgia State,99,99,38,128,1,5
3,North Carolina State,Charleston Southern,99,99,78,36,0,5
3,North Texas,Texas Southern,99,99,79,190,0,5
3,Ohio State,Arkansas State,3,99,84,13,0,5
3,Oklahoma,Kent State,7,99,85,89,0,5
3,Oklahoma State,Arizona State,99,99,86,11,0,5
3,Oregon,Eastern Washington,99,99,88,54,0,5
3,Oregon State,Fresno State,99,99,35,147,1,5
3,Penn State,Ohio,99,99,90,141,0,5
3,Purdue,Indiana State,99,99,92,81,0,5
3,Rice,McNeese State,99,99,93,104,0,5
3,Rutgers,Wagner,99,99,94,208,0,5
3,San Diego State,Idaho State,99,99,95,76,0,5
3,South Alabama,Central Michigan,99,99,20,162,1,5
3,South Florida,Howard,99,99,99,74,0,5
3,Southern California,Stanford,99,99,103,171,1,5
3,Southern Methodist,Lamar,99,99,101,92,0,5
3,Syracuse,Connecticut,99,99,27,180,1,5
3,Temple,Lafayette,99,99,105,91,0,5
3,Tennessee,Pittsburgh,99,99,91,183,1,5
3,Texas Christian,Tarleton State,99,99,109,181,0,5
3,Texas State,Florida International,99,99,110,59,0,5
3,Texas Tech,Houston,99,99,111,72,0,5
3,Texas-El Paso,New Mexico State,99,99,112,125,0,5
3,Texas-San Antonio,Army,99,99,9,194,1,5
3,Toledo,Massachusetts,99,99,114,103,0,5
3,Troy,Alabama A&M,99,99,115,4,0,5
3,Tulane,Alcorn State,99,99,116,8,0,5
3,Tulsa,Northern Illinois,99,99,117,136,0,5
3,UCLA,Alabama State,99,99,118,5,0,5
3,Utah,Southern Utah,99,99,119,175,0,5
3,Virginia Tech,Boston College,99,99,123,22,0,5
3,Wake Forest,Vanderbilt,99,99,121,209,1,5
3,Washington,Portland State,99,99,125,150,0,5
3,Washington State,Wisconsin,99,99,130,211,1,5
3,Weber State,Utah State,99,99,120,212,1,5
3,Western Michigan,Ball State,99,99,11,217,1,5
3,Wyoming,Northern Colorado,99,99,131,135,0,5
4,Florida State,Louisville,99,99,56,60,1,4
4,Wyoming,Air Force,99,99,131,1,0,4
4,Alabama,Louisiana-Monroe,2,99,2,98,0,5
4,Alabama-Birmingham,Georgia Southern,99,99,3,66,0,5
4,Appalachian State,Troy,99,99,4,197,0,5
4,Arizona,North Dakota State,99,99,5,132,0,5
4,Arkansas,Missouri State,99,99,7,116,0,5
4,Army,Villanova,99,99,9,204,0,5
4,Ball State,Murray State,99,99,11,118,0,5
4,Baylor,Texas State,99,99,12,191,0,5
4,Boise State,Tennessee-Martin,99,99,13,186,0,5
4,Boston College,Maine,99,99,14,100,0,5
4,Bowling Green,Marshall,99,99,15,101,0,5
4,Central Florida,Florida Atlantic,99,99,32,34,1,5
4,Central Michigan,Bucknell,99,99,20,26,0,5
4,Charlotte,Georgia State,99,99,38,37,1,5
4,Cincinnati,Miami (OH),99,99,72,223,3,5
4,Clemson,Louisiana Tech,5,99,23,97,0,5
4,Coastal Carolina,Buffalo,99,99,24,27,0,5
4,Duke,North Carolina A&T,99,99,28,129,0,5
4,East Carolina,Campbell,99,99,29,31,0,5
4,Eastern Michigan,Arizona State,99,99,6,53,1,5
4,Florida,South Florida,99,99,31,167,0,5
4,Georgia,South Carolina,99,1,98,65,1,5
