iter	Passed	Remaining
0	56	56927
1	58	29018
2	59	19692
3	59	14884
4	60	12088
5	61	10255
6	63	8976
7	65	8156
8	67	7395
9	67	6713
10	68	6187
11	69	5745
12	71	5391
13	72	5076
14	73	4804
15	74	4572
16	75	4363
17	76	4188
18	77	4008
19	78	3845
20	79	3711
21	80	3589
22	83	3526
23	84	3425
24	85	3334
25	86	3251
26	88	3171
27	89	3094
28	90	3020
29	91	2952
30	94	2940
31	95	2876
32	96	2819
33	97	2766
34	98	2716
35	99	2668
36	100	2619
37	101	2574
38	102	2533
39	103	2479
40	105	2476
41	109	2487
42	110	2450
43	111	2415
44	112	2382
45	113	2350
46	114	2321
47	115	2284
48	116	2256
49	117	2230
50	120	2240
51	121	2215
52	122	2188
53	124	2180
54	125	2158
55	126	2140
56	127	2113
57	128	2094
58	130	2073
59	131	2059
60	132	2041
61	133	2022
62	138	2055
63	139	2046
64	141	2031
65	142	2013
66	143	1997
67	144	1983
68	146	1975
69	149	1988
70	150	1973
71	151	1958
72	153	1944
73	154	1929
74	155	1914
75	156	1900
76	157	1887
77	158	1873
78	161	1880
79	162	1870
80	163	1859
81	165	1847
82	166	1834
83	167	1823
84	168	1811
85	169	1800
86	173	1820
87	174	1811
88	176	1802
89	177	1792
90	178	1782
91	181	1792
92	183	1785
93	184	1776
94	185	1767
95	186	1758
96	187	1747
97	188	1738
98	190	1731
99	194	1748
100	196	1746
101	197	1738
102	198	1729
103	199	1721
104	201	1719
105	203	1712
106	204	1704
107	205	1696
108	206	1688
109	207	1680
110	208	1672
111	209	1663
112	212	1668
113	213	1661
114	215	1654
115	216	1649
116	217	1641
117	218	1633
118	219	1625
119	220	1617
120	221	1608
121	223	1607
122	224	1600
123	225	1593
124	226	1587
125	227	1580
126	228	1572
127	229	1566
128	231	1561
129	232	1553
130	234	1555
131	236	1558
132	238	1554
133	239	1547
134	240	1542
135	241	1536
136	242	1530
137	244	1524
138	245	1518
139	247	1520
140	248	1515
141	249	1509
142	250	1504
143	252	1498
144	253	1492
145	254	1486
146	255	1480
147	256	1475
148	258	1475
149	260	1475
150	261	1470
151	262	1465
152	263	1460
153	265	1456
154	266	1452
155	267	1449
156	269	1448
157	271	1445
158	272	1441
159	273	1437
160	274	1432
161	275	1426
162	276	1420
163	277	1416
164	278	1411
165	281	1412
166	282	1408
167	283	1403
168	284	1398
169	285	1393
170	286	1387
171	287	1383
172	288	1380
173	289	1375
174	292	1376
175	293	1372
176	294	1367
177	295	1363
178	296	1359
179	299	1364
180	299	1357
181	300	1351
182	301	1348
183	303	1344
184	304	1341
185	305	1338
186	306	1334
187	308	1330
188	310	1331
189	311	1327
190	312	1323
191	313	1320
192	314	1316
193	315	1312
194	316	1308
195	318	1305
196	321	1310
197	322	1306
198	323	1302
199	324	1298
200	326	1296
201	327	1293
202	328	1290
203	330	1287
204	333	1291
205	334	1288
206	335	1283
207	336	1280
208	337	1278
209	339	1275
210	340	1272
211	341	1268
212	345	1274
213	346	1271
214	347	1268
215	348	1264
216	349	1261
217	350	1258
218	352	1255
219	353	1252
220	353	1247
221	356	1248
222	357	1244
223	358	1241
224	360	1240
225	361	1237
226	362	1234
227	363	1231
228	364	1228
229	368	1233
230	369	1229
231	371	1230
232	373	1229
233	374	1227
234	376	1225
235	377	1222
236	379	1222
237	380	1219
238	382	1216
239	383	1214
240	384	1212
241	386	1210
242	387	1207
243	388	1205
244	393	1213
245	395	1211
246	396	1209
247	398	1206
248	399	1204
249	400	1201
250	401	1199
251	408	1212
252	409	1209
253	410	1205
254	411	1202
255	412	1199
256	414	1197
257	415	1194
258	416	1192
259	420	1196
260	421	1193
261	425	1199
262	428	1200
263	429	1197
264	431	1195
265	432	1193
266	433	1191
267	435	1190
268	437	1187
269	438	1185
270	439	1182
271	444	1190
272	445	1187
273	447	1184
274	448	1182
275	449	1179
276	450	1176
277	451	1173
278	454	1175
279	456	1172
280	457	1170
281	458	1167
282	460	1165
283	461	1163
284	462	1160
285	463	1157
286	466	1159
287	467	1156
288	469	1155
289	470	1152
290	471	1149
291	472	1146
292	474	1143
293	475	1141
294	478	1144
295	480	1143
296	481	1140
297	482	1137
298	483	1134
299	485	1131
300	485	1128
301	486	1125
302	488	1122
303	490	1124
304	492	1121
305	493	1119
306	494	1116
307	495	1114
308	496	1110
309	496	1106
310	498	1103
311	503	1109
312	504	1107
313	505	1105
314	507	1102
315	508	1099
316	509	1097
317	510	1095
318	511	1092
319	514	1094
320	516	1091
321	517	1089
322	518	1086
323	519	1084
324	521	1082
325	522	1080
326	523	1077
327	526	1078
328	527	1075
329	528	1073
330	529	1070
331	530	1068
332	531	1065
333	533	1062
