,Quantity,date_time
6,31.38,2022-06-08 08:25:00
9,29.56,2022-03-08 10:08:00
10,29.05,2022-02-28 18:20:00
11,28.83,2022-01-06 18:27:00
14,24.93,2021-10-27 18:04:00
15,24.21,2021-10-12 18:41:00
16,24.21,2021-10-12 18:40:00
18,22.56,2021-09-07 07:58:00
20,22.89,2021-08-21 18:57:00
63,22.45,2021-08-08 19:45:00
174,22.45,2021-07-22 18:22:00
226,21.57,2021-07-14 18:55:00
259,22.01,2021-07-10 07:49:00
323,20.91,2021-06-30 21:46:00
371,20.69,2021-06-23 18:56:00
419,20.69,2021-06-16 18:53:00
474,20.25,2021-06-09 19:18:00
528,20.25,2021-06-02 21:41:00
572,19.88,2021-05-28 10:10:00
637,19.75,2021-05-19 17:47:00
694,19.37,2021-05-12 19:34:00
750,18.93,2021-05-05 19:21:00
806,18.71,2021-04-28 21:32:00
855,18.49,2021-04-22 21:35:00
919,18.07,2021-04-14 18:59:00
1052,17.19,2021-03-31 09:34:00
1138,16.62,2021-03-22 11:17:00
1190,16.5,2021-03-17 19:51:00
1249,15.85,2021-03-11 18:38:00
1366,15.4,2021-02-27 15:25:00
1742,14.08,2021-02-08 20:27:00
1986,12.98,2021-01-27 19:59:00
2192,12.06,2021-01-15 16:05:00
2427,11.22,2021-01-02 18:48:00
2718,10.12,2020-12-22 08:49:00
3004,9.12,2020-12-08 08:00:00
3007,9.12,2020-12-08 08:00:00
3036,9.06,2020-12-05 18:13:00
3037,9.5,2020-12-04 07:23:00
