storm_number,date,time,lat_n,lon_w,max_winds(kt),landfall_state,storm_names
6,10/19/1851,1500,41.1,71.7,50,NY,
3,8/19/1856,1100,34.8,76.4,50,NC,
4,9/30/1857,1000,25.8,97,50,TX,
3,9/14/1858,1500,27.6,82.7,60,FL,
3,9/16/1858,300,35.2,75.2,50,NC,
7,10/17/1859,1600,26.4,80.1,60,FL,
7,7/1861,1200,35.3,75.3,50,NC,
8,1/1861,800,26,81.8,60,FL,
8,3/1861,800,41,72.3,60,NY,
8,3/1861,900,41.2,72,50,CT,
6,9/18/1863,1300,34.6,77.1,60,NC,
9,9/29/1863,1200,29.3,94.8,60,TX,
2,6/30/1865,1800,26,97.5,50,TX,
3,8/22/1865,1800,34.5,74.6,40,NC,
5,7/1865,0,29.7,92,60,LA,
2,2/1867,100,34.9,75,60,NC,
2,2/1867,2200,40.9,69.3,50,MA,
2,4/1868,1600,29.9,85.4,60,FL,
2,3/1870,1800,40.5,68.8,40,MA,
1,4/1871,700,29.1,95.1,50,TX,
2,9/1871,1700,29.2,95,50,TX,
3,8/23/1871,0,31.2,81.4,60,GA,
7,5/1871,1600,30,83.9,60,FL,
1,7/11/1872,500,29.1,89.1,50,LA,
1,7/11/1872,800,30.2,89,50,MS,
5,10/23/1872,800,27.9,82.7,50,FL,
5,10/25/1872,100,34.4,77.7,50,NC,
1,2/1873,1100,30.8,81.4,40,GA,
4,9/23/1873,1000,27.8,82.8,50,FL,
1,4/1874,2000,28.5,96.2,50,TX,
4,4/1874,1200,25,97.6,40,TX,
4,9/27/1875,1300,30.1,85.7,50,FL,
2,9/16/1876,1500,25.5,79.7,40,FL,
7,10/26/1877,2100,29.3,83.2,40,FL,
1,2/1878,1500,26,81.8,40,FL,
5,7/1878,2100,24.7,80.9,60,FL,
5,8/1878,200,25.2,81,60,FL,
8,10/10/1878,2100,29.9,85.4,50,FL,
11,10/22/1878,0,25.9,79.8,50,FL,
5,7/1879,500,29,89.2,50,LA,
6,10/16/1879,800,30.4,86.6,50,FL,
7,10/27/1879,2100,29,82.7,60,FL,
1,6/24/1880,1500,28.7,95.7,40,TX,
6,8/1880,1600,29.8,83.6,50,FL,
11,10/23/1880,800,41.3,70,60,MA,
11,10/23/1880,1300,44,68.8,60,ME,
1,3/1881,1300,30.2,88.3,50,AL,
2,8/13/1881,2100,28,96.9,40,TX,
3,9/15/1882,500,29.8,93.7,50,LA,
4,9/22/1882,2200,34.7,77,50,NC,
4,9/24/1882,500,40.7,72.8,40,NY,
3,9/11/1884,100,31.6,81.2,40,GA,
3,8/30/1885,2300,30.1,85.7,50,FL,
4,9/21/1885,300,29,89.4,50,LA,
4,9/21/1885,1200,30,85.6,50,FL,
4,9/23/1885,300,41.6,69.7,50,MA,
6,9/26/1885,400,29.6,89,60,LA,
6,2/1885,1500,35,74.8,50,NC,
8,10/11/1885,2200,29.4,83.2,60,FL,
5,8/18/1886,100,23.9,81.9,55,FL,
6,8/23/1886,600,26.3,78.7,35,FL,
3,6/14/1887,700,30.2,88.7,35,MS,
7,8/25/1887,600,35,74.4,50,NC,
16,10/30/1887,100,28.1,82.8,40,FL,
2,7/5/1888,1600,28.8,95.6,50,TX,
4,9/6/1888,0,23,81.9,50,FL,
5,9/8/1888,0,26.7,80.1,45,FL,
6,9/26/1888,1300,41.6,69.9,55,MA,
7,10/11/1888,1600,33.9,78.1,60,NC,
