rank,Team
1,Brazil 
2,Belgium
3,France
4,Argentina
5,England
6,Italy
7,Spain
8,Portugal
9,Mexico
10,Netherlands
11,Denmark
12,Germany
13,Uruguay
14,Switzerland
15,Usa
16,Croatia
17,Columbia
18,Wales
19,Sweden
20,Senegal
21,Iran
22,Peru
23,Japan
24,Marocco
25,Serbia
26,Poland
27,Ukraine
28,Chilie
29,South Korea
30,Nigeria
31,Croatia
32,Egypt
33,Czech Republic
34,Austria
35,Tunisia
36,Russia
37,Cameroon
38,Canada
39,Scotland
40,Hungary
41,Norway
42,Australia
43,Turkey
44,Algeria
45,Slovakia
46,Ecuador
47,Ireland
48,Romania
49,Saudi Arabia
50,Paraguay
51,Qatar
52,Mali
