home,Group,"Previous 
titles","Previous
 finals",Previous semifinals,Current FIFA Rank,away,Match index,History with first Opponent
Ecuador,A,0,0,0,46,Qatar,1,0
Netherlands,A,0,3,5,10,Senegal,2,n/a
Qatar,A,0,0,0,51,Ecuador,1,0
Senegal,A,0,0,0,20,Netherlands,2,n.a
England,B,1,1,3,5,Iran,3,n/a
Iran,B,0,0,0,21,England,3,n/a
USA,B,0,0,1,15,Wales,4,1
Wales,B,0,0,0,18,USA,4,-1
Argentina,C,2,5,5,4,Saudi Arabia,5,2
Mexico,C,0,0,0,9,Poland,6,0
Poland,C,0,0,2,26,Mexico,6,0
Saudi Arabia,C,0,0,0,49,Argentina,5,-2
Denmark,D,0,0,0,11,Tunisia,7,1
France,D,2,3,6,3,Australia,8,1
Australia,D,0,0,0,22,France,8,-1
Tunisia,D,0,0,0,35,Denmark,7,-1
Costa Rica,E,0,0,0,31,Spain,9,-2
Germany,E,4,8,13,12,Japan,10,1
Japan,E,0,0,0,23,Germany,10,-1
Spain,E,1,1,2,7,Costa Rica,9,2
Belgium,F,0,0,2,2,Canada,11,1
Canada,F,0,0,0,38,Belgium,11,-1
Croatia,F,0,1,2,16,Morocco,12,1
Morocco,F,0,0,0,24,Croatia,12,-1
Brazil,G,5,7,11,1,Serbia,13,2
Cameroon,G,0,0,0,37,Switzerland,14,n/a
Serbia,G,0,0,2,25,Brazil,13,-2
Switzerland,G,0,0,0,14,Cameroon,14,n/a
Ghana,H,0,0,0,60,Portugal,15,-1
Portugal,H,0,0,2,8,Ghana,15,1
South Korea ,H,0,0,1,29,Uruguay,16,-5
Uruguay,H,2,2,5,13,South Korea,16,5
Ecuador,A,0,0,0,46,Netherlands,17,-1
Netherlands,A,0,3,5,10,Ecuador,17,1
Qatar,A,0,0,0,51,Senegal,18,n/a
Senegal,A,0,0,0,20,Qatar,18,n/a
England,B,1,1,3,5,USA,19,6
Iran,B,0,0,0,21,Wales,20,-1
USA,B,0,0,1,15,England,19,-6
Wales,B,0,0,0,18,Iran,20,1
Argentina,C,2,5,5,4,Mexico,21,2
Mexico,C,0,0,0,9,Argentina,21,-2
Poland,C,0,0,2,26,Saudi Arabia,22,4
Saudi Arabia,C,0,0,0,49,Poland,22,-4
Denmark,D,0,0,0,11,France,23,-3
France,D,2,3,6,3,Denmark,23,3
Australia,D,0,0,0,22,Tunisia,24,n/a
Tunisia,D,0,0,0,35,Australia,24,n/a
Costa Rica,E,0,0,0,31,Japan,25,-4
Germany,E,4,8,13,12,Spain,26,1
Japan,E,0,0,0,23,Costa Rica,25,4
Spain,E,1,1,2,7,Germany,26,-1
Belgium,F,0,0,2,2,Morocco,27,1
Canada,F,0,0,0,38,Croatia,28,n/a
Croatia,F,0,1,2,16,Canada,28,n/a
Morocco,F,0,0,0,24,Belgium,27,-1
Brazil,G,5,7,11,1,Switzerland,29,1
Cameroon,G,0,0,0,37,Serbia,30,-1
Serbia,G,0,0,2,25,Cameroon,30,1
Switzerland,G,0,0,0,14,Brazil,29,-1
Ghana,H,0,0,0,60,South Korea,31,n/a
Portugal,H,0,0,2,8,Uruguay,32,0
South Korea ,H,0,0,1,29,Ghana,31,n/a
Uruguay,H,2,2,5,13,Portugal,32,0
Ecuador,A,0,0,0,46,Senegal,33,-1
Netherlands,A,0,3,5,10,Qatar,34,n/a
Qatar,A,0,0,0,51,Netherlands,34,n/a
Senegal,A,0,0,0,20,Ecuador,33,1
England,B,1,1,3,5,Wales,35,54
Iran,B,0,0,0,21,USA,36,1
USA,B,0,0,1,15,Iran,36,-1
Wales,B,0,0,0,18,England,35,-54
Argentina,C,2,5,5,4,Poland,37,3
Mexico,C,0,0,0,9,Saudi Arabia,38,4
Poland,C,0,0,2,26,Argentina,37,-3
Saudi Arabia,C,0,0,0,49,Mexico,38,-4
Denmark,D,0,0,0,11,Australia,39,0
France,D,2,3,6,3,Tunisia,40,1
Australia,D,0,0,0,22,Denmark,39,0
Tunisia,D,0,0,0,35,France,40,-1
Costa Rica,E,0,0,0,31,Germany,41,-1
Germany,E,4,8,13,12,Costa Rica,41,1
Japan,E,0,0,0,23,Spain,42,-1
Spain,E,1,1,2,7,Japan,42,1
Belgium,F,0,0,2,2,Croatia,43,0
Canada,F,0,0,0,38,Morocco,44,0
Croatia,F,0,1,2,16,Belgium,43,0
Morocco,F,0,0,0,24,Canada,44,0
Brazil,G,5,7,11,1,Cameroon,45,4
Cameroon,G,0,0,0,37,Brazil,45,-4
Serbia,G,0,0,2,25,Switzerland,46,-1
Switzerland,G,0,0,0,14,Serbia,46,1
Ghana,H,0,0,0,60,Uruguay,47,-1
Portugal,H,0,0,2,8,South Korea,48,n/a
South Korea ,H,0,0,1,29,Portufal,48,n/a
Uruguay,H,2,2,5,13,Ghana,47,1
