Squad,result,# Pl,Age,pass attmpt,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/-90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,# Pl-opp,age-opp,pass-opp,gls-opp,ast-opp,g-pk-opp,pk-opp,pkatt-opp,crdy-opp,crdr-opp,gls-90-opp,ast-90-opp,ga-90-opp,gpk-90-opp,gapk-90-opp,xg-opp,npxg-opp,xa-opp,npxgxa-opp,xg-90-opp,xa-90-opp,xgxa-90-opp,npxg-90-opp,npxG+xA-90-opp,results
ar Argentina,9,20,29.6,65.3,4,44,360,4,1.5,1.5,1.5,0,0.25,1.5,0,1.5,1.5,3,1.5,3,1.23,1.02,0.75,1.77,1.23,20,27.6,34.8,20,27.6,34.8,4,44,360,4,9,4,7,2,2,9,0,2.25,1,3.25,1.75,2.75,5.4,3.9,
au Australia,30,15,27.7,51.7,3,33,270,3,0.67,0,0,0.67,0.67,2.33,0,0.67,0,0.67,0,0,1.17,0.67,0.53,1.2,1.16,15,26.1,48.3,15,26.1,48.3,3,33,270,3,4,2,3,1,1,5,0,1.33,0.67,2,1,1.67,2.5,1.7,
be Belgium,3,21,27.7,52.9,7,77,630,7,2.14,1.71,2,0.14,0.14,0.14,0,2.14,1.71,3.86,2,3.71,1.69,1.59,1.3,2.89,1.69,21,27,47.1,21,27,47.1,7,77,630,7,6,6,6,0,0,13,0,0.86,0.86,1.71,0.86,1.71,8.8,8.8,
br Brazil,5,18,28.2,58.6,5,55,450,5,1.6,1.4,1.6,0,0,0.6,0,1.6,1.4,3,1.6,3,2.36,2.36,1.8,4.16,2.36,18,28.2,41.4,18,28.2,41.4,5,55,450,5,2,2,2,0,0,13,0,0.4,0.4,0.8,0.4,0.8,2.5,2.5,
co Colombia,9,20,26.8,50.5,4,44,390,4.3,1.4,1.16,1.4,0,0,0.7,0.23,1.38,1.15,2.54,1.38,2.54,0.63,0.63,0.53,1.19,0.63,20,27,49.5,20,27,49.5,4,44,390,4.3,3,1,1,2,2,6,0,0.69,0.23,0.92,0.23,0.46,4.8,3.6,
cr Costa Rica,30,20,29.9,39.3,3,33,270,3,0.33,0.33,0.33,0,0.33,2,0,0.33,0.33,0.67,0.33,0.67,0.7,0.43,0.37,0.83,0.7,20,27.8,60.7,20,27.8,60.7,3,33,270,3,5,4,5,0,0,7,0,1.67,1.33,3,1.67,3,6,6,
hr Croatia,2,21,28.8,56.6,7,77,720,8,1.63,1,1.5,0.13,0.25,0.5,0,1.62,1,2.62,1.5,2.5,1.27,1.09,0.72,1.81,1.28,21,27.2,43.4,21,27.2,43.4,7,77,720,8,8,4,6,2,2,12,0,1,0.5,1.5,0.75,1.25,7,5.5,
dk Denmark,9,20,26.9,43.8,4,44,390,4.3,0.7,0.7,0.7,0,0,1.16,0,0.69,0.69,1.38,0.69,1.38,0.65,0.65,0.53,1.19,0.65,20,27.7,56.3,20,27.7,56.3,4,44,390,4.3,2,0,1,1,3,1,0,0.46,0,0.46,0.23,0.23,5.6,3.4,
eg Egypt,32,16,28.9,43.3,3,33,270,3,0.67,0.33,0.33,0.33,0.33,1.67,0,0.67,0.33,1,0.33,0.67,0.87,0.6,0.5,1.1,0.87,16,28.2,56.7,16,28.2,56.7,3,33,270,3,5,4,4,1,2,1,0,1.67,1.33,3,1.33,2.67,4.5,3,
eng England,4,21,25.5,54.4,7,77,690,7.7,1.56,0.78,1.17,0.39,0.39,0.26,0,1.57,0.78,2.35,1.17,1.96,1.3,1,0.69,1.7,1.31,21,27.5,45.6,21,27.5,45.6,7,77,690,7.7,8,7,7,1,1,16,0,1.04,0.91,1.96,0.91,1.83,6.8,6,
