Player,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rodrigo De Paul,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.7,0.21,0.01,0.23,0.21,0.23,Matches
Emiliano Martínez,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lionel Messi,3,3,270,3,2,1,1,1,2,0,0,0.67,0.33,1,0.33,0.67,2.4,0.8,0.7,1.5,0.79,0.24,1.03,0.27,0.51,Matches
Nicolás Otamendi,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches
Ángel Di María,3,3,216,2.4,0,1,0,0,0,0,0,0,0.42,0.42,0,0.42,0.1,0.1,0.4,0.5,0.06,0.16,0.22,0.06,0.22,Matches
Nahuel Molina,3,2,208,2.3,0,1,0,0,0,0,0,0,0.43,0.43,0,0.43,0.1,0.1,0.3,0.4,0.04,0.13,0.17,0.04,0.17,Matches
Cristian Romero,3,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marcos Acuña,3,2,168,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.05,0.07,0.12,0.05,0.12,Matches
Lautaro Martínez,3,2,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.23,0,0.23,0.23,0.23,Matches
Alexis Mac Allister,2,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,0.3,0.3,0.3,0.6,0.19,0.19,0.38,0.19,0.38,Matches
Enzo Fernández,3,1,144,1.6,1,1,1,0,0,0,0,0.62,0.62,1.25,0.62,1.25,0.1,0.1,0.4,0.5,0.06,0.22,0.28,0.06,0.28,Matches
Julián Álvarez,3,1,138,1.5,1,0,1,0,0,0,0,0.65,0,0.65,0.65,0.65,1,1,0,1,0.65,0,0.65,0.65,0.65,Matches
Lisandro Martínez,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0.09,0.53,0.62,0.09,0.62,Matches
Nicolás Tagliafico,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.1,0.85,0.14,0.99,0.85,0.99,Matches
Leandro Paredes,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Gonzalo Montiel,1,1,62,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Papu Gómez,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Guido Rodríguez,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Exequiel Palacios,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Germán Pezzella,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Thiago Almada,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,3.16,3.16,0,3.16,Matches
Squad Total,3,33,270,3,5,4,4,1,2,2,0,1.67,1.33,3,1.33,2.67,6,4.6,3.4,8,1.99,1.14,3.13,1.53,2.67,
Opponent Total,3,33,270,3,2,1,2,0,0,11,0,0.67,0.33,1,0.67,1,0.7,0.7,0.6,1.3,0.25,0.2,0.44,0.25,0.44,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
