Player,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tyler Adams,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Tim Ream,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Antonee Robinson,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.09,0.09,0,0.09,Matches
Matt Turner,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yunus Musah,3,3,253,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.08,0.03,0.12,0.08,0.12,Matches
Timothy Weah,3,3,250,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.6,0.6,0.4,1,0.22,0.13,0.34,0.22,0.34,Matches
Sergiño Dest,3,3,231,2.6,0,1,0,0,0,1,0,0,0.39,0.39,0,0.39,0.2,0.2,0.5,0.7,0.06,0.19,0.26,0.06,0.26,Matches
Christian Pulisic,3,3,225,2.5,1,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8,0.6,0.6,0.6,1.2,0.23,0.25,0.49,0.23,0.49,Matches
Weston McKennie,3,3,205,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.11,0.03,0.15,0.11,0.15,Matches
Walker Zimmerman,3,2,189,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Josh Sargent,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.21,0.04,0.25,0.21,0.25,Matches
Haji Wright,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.23,0,0.23,0.23,0.23,Matches
Cameron Carter-Vickers,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Brenden Aaronson,3,0,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.08,0.2,0.27,0.08,0.27,Matches
Kellyn Acosta,2,0,43,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Shaquell Moore,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
DeAndre Yedlin,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gio Reyna,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jordan Morris,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,3,33,270,3,2,2,2,0,0,5,0,0.67,0.67,1.33,0.67,1.33,2.6,2.6,2.2,4.7,0.86,0.72,1.58,0.86,1.58,
Opponent Total,3,33,270,3,1,0,0,1,1,5,0,0.33,0,0.33,0,0,2.7,1.9,1.8,3.7,0.89,0.59,1.48,0.63,1.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
