,ID,Name,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,236988,ST,https://cdn.sofifa.net/players/236/988/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,72,79,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€4.8M,€45K,1698
1,255253,CM,https://cdn.sofifa.net/players/255/253/22_60.png,,https://cdn.sofifa.net/flags/pt.png,78,88,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€31.5M,€12K,1999
2,239301,CB,https://cdn.sofifa.net/players/239/301/22_60.png,,https://cdn.sofifa.net/flags/ar.png,80,85,Ajax,https://cdn.sofifa.net/teams/245/30.png,€29M,€17K,2109
3,256958,CAM,https://cdn.sofifa.net/players/256/958/22_60.png,,https://cdn.sofifa.net/flags/pt.png,76,86,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€17M,€10K,1838
4,236403,CB,https://cdn.sofifa.net/players/236/403/22_60.png,,https://cdn.sofifa.net/flags/fr.png,80,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€29.5M,€23K,1935
5,253072,ST,https://cdn.sofifa.net/players/253/072/22_60.png,,https://cdn.sofifa.net/flags/uy.png,79,87,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€39.5M,€16K,2020
6,225713,ST,https://cdn.sofifa.net/players/225/713/22_60.png,,https://cdn.sofifa.net/flags/fr.png,65,68,FC Nantes,https://cdn.sofifa.net/teams/71/30.png,€1M,€6K,1593
7,239580,CB,https://cdn.sofifa.net/players/239/580/22_60.png,,https://cdn.sofifa.net/flags/br.png,80,85,Torino F.C.,https://cdn.sofifa.net/teams/54/30.png,€29M,€41K,1824
8,256942,CDM,https://cdn.sofifa.net/players/256/942/22_60.png,,https://cdn.sofifa.net/flags/de.png,67,84,FK Austria Wien,https://cdn.sofifa.net/teams/256/30.png,€2.5M,€9K,1699
9,240950,RW,https://cdn.sofifa.net/players/240/950/22_60.png,,https://cdn.sofifa.net/flags/pt.png,81,88,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€51.5M,€19K,2089
10,236480,CDM,https://cdn.sofifa.net/players/236/480/22_60.png,,https://cdn.sofifa.net/flags/ml.png,81,86,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€35.5M,€57K,2135
11,264240,CM,https://cdn.sofifa.net/players/264/240/22_60.png,,https://cdn.sofifa.net/flags/es.png,77,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€24M,€14K,1970
12,244749,CB,https://cdn.sofifa.net/players/244/749/22_60.png,,https://cdn.sofifa.net/flags/ma.png,79,83,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,€22M,€45K,1890
13,244112,CAM,https://cdn.sofifa.net/players/244/112/22_60.png,,https://cdn.sofifa.net/flags/gh.png,74,77,FC St. Pauli,https://cdn.sofifa.net/teams/110329/30.png,€5.5M,€16K,1766
14,247090,CM,https://cdn.sofifa.net/players/247/090/22_60.png,,https://cdn.sofifa.net/flags/ar.png,77,86,River Plate,https://cdn.sofifa.net/teams/1876/30.png,€23M,€14K,2114
15,239373,ST,https://cdn.sofifa.net/players/239/373/22_60.png,,https://cdn.sofifa.net/flags/nl.png,73,79,Fortuna Sittard,https://cdn.sofifa.net/teams/634/30.png,€4.9M,€11K,1983
16,251470,ST,https://cdn.sofifa.net/players/251/470/22_60.png,,https://cdn.sofifa.net/flags/be.png,77,87,Club Brugge KV,https://cdn.sofifa.net/teams/231/30.png,€23.5M,€22K,2055
17,240833,ST,https://cdn.sofifa.net/players/240/833/22_60.png,,https://cdn.sofifa.net/flags/de.png,69,89,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€3.8M,€5K,1725
18,239085,ST,https://cdn.sofifa.net/players/239/085/22_60.png,,https://cdn.sofifa.net/flags/no.png,88,94,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€143.5M,€110K,2120
19,236918,RW,https://cdn.sofifa.net/players/236/918/22_60.png,,https://cdn.sofifa.net/flags/dk.png,73,79,FC Midtjylland,https://cdn.sofifa.net/teams/1516/30.png,€4.8M,€21K,1879
20,208722,LW,https://cdn.sofifa.net/players/208/722/22_60.png,,https://cdn.sofifa.net/flags/sn.png,89,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€101M,€270K,2189
