,ID,Name,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,225713,ST,https://cdn.sofifa.net/players/225/713/22_60.png,,France,65,68,FC Nantes,https://cdn.sofifa.net/teams/71/30.png,€1M,€6K,1593
1,256197,CB,https://cdn.sofifa.net/players/256/197/22_60.png,,Ecuador,76,84,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,€15M,€21K,1817
2,230767,CM,https://cdn.sofifa.net/players/230/767/22_60.png,,Portugal,80,86,LOSC Lille,https://cdn.sofifa.net/teams/65/30.png,€33M,€38K,2218
3,255253,CM,https://cdn.sofifa.net/players/255/253/22_60.png,,Portugal,78,88,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€31.5M,€12K,1999
4,253072,ST,https://cdn.sofifa.net/players/253/072/22_60.png,,Uruguay,79,87,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€39.5M,€16K,2020
5,236703,LWB,https://cdn.sofifa.net/players/236/703/22_60.png,,Germany,79,83,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,€23.5M,€32K,2022
6,186405,ST,https://cdn.sofifa.net/players/186/405/22_60.png,,Argentina,72,72,Göztepe SK,https://cdn.sofifa.net/teams/101026/30.png,€1.9M,€12K,1838
7,239301,CB,https://cdn.sofifa.net/players/239/301/22_60.png,,Argentina,80,85,Ajax,https://cdn.sofifa.net/teams/245/30.png,€29M,€17K,2109
8,256958,CAM,https://cdn.sofifa.net/players/256/958/22_60.png,,Portugal,76,86,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€17M,€10K,1838
9,237034,ST,https://cdn.sofifa.net/players/237/034/22_60.png,,Colombia,75,81,Watford,https://cdn.sofifa.net/teams/1795/30.png,€9M,€44K,1910
10,264240,CM,https://cdn.sofifa.net/players/264/240/22_60.png,,Spain,77,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€24M,€14K,1970
11,236988,ST,https://cdn.sofifa.net/players/236/988/22_60.png,,England,72,79,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€4.8M,€45K,1698
12,223816,ST,https://cdn.sofifa.net/players/223/816/22_60.png,,Uruguay,79,79,Al Nassr,https://cdn.sofifa.net/teams/112139/30.png,€19M,€50K,2009
13,256942,CDM,https://cdn.sofifa.net/players/256/942/22_60.png,,Germany,67,84,FK Austria Wien,https://cdn.sofifa.net/teams/256/30.png,€2.5M,€9K,1699
14,225951,LM,https://cdn.sofifa.net/players/225/951/22_60.png,,Gabon,75,75,AS Saint-Étienne,https://cdn.sofifa.net/teams/1819/30.png,€6M,€29K,1929
15,236403,CB,https://cdn.sofifa.net/players/236/403/22_60.png,,France,80,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€29.5M,€23K,1935
16,239231,LB,https://cdn.sofifa.net/players/239/231/22_60.png,,Spain,80,85,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€30M,€53K,2106
17,236480,CDM,https://cdn.sofifa.net/players/236/480/22_60.png,,Mali,81,86,Brighton & Hove Albion,https://cdn.sofifa.net/teams/1808/30.png,€35.5M,€57K,2135
18,240833,ST,https://cdn.sofifa.net/players/240/833/22_60.png,,Germany,69,89,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€3.8M,€5K,1725
